,country_destination
0,NDF
1,US
2,other
3,US
4,US
5,US
6,US
7,NDF
8,NDF
9,CA
10,FR
11,US
12,NDF
13,FR
14,US
15,NDF
16,US
17,NDF
18,NDF
19,NDF
20,US
21,US
22,NDF
23,NDF
24,US
25,NDF
26,CA
27,NDF
28,NDF
29,FR
30,US
31,NDF
32,US
33,US
34,US
35,IT
36,NDF
37,NDF
38,US
39,US
40,US
41,ES
42,US
43,FR
44,NDF
45,FR
46,US
47,US
48,NDF
49,NDF
50,US
51,IT
52,NDF
53,CA
54,GB
55,US
56,NDF
57,US
58,NDF
59,US
60,NDF
61,US
62,US
63,US
64,US
65,NDF
66,NDF
67,US
68,US
69,NDF
70,US
71,NDF
72,US
73,US
74,FR
75,NDF
76,NDF
77,US
78,NDF
79,US
80,US
81,US
82,US
83,US
84,US
85,US
86,US
87,US
88,NDF
89,NDF
90,US
91,NDF
92,US
93,US
94,US
95,NDF
96,NDF
97,US
98,other
99,US
100,US
101,US
102,US
103,NDF
104,US
105,US
106,NDF
107,US
108,US
109,US
110,US
111,US
112,US
113,NDF
114,NDF
115,US
116,US
117,US
118,US
119,US
120,NDF
121,NDF
122,NDF
123,US
124,US
125,US
126,US
127,US
128,US
129,US
130,NDF
131,NDF
132,US
133,US
134,FR
135,US
136,US
137,FR
138,US
139,CA
140,NDF
141,US
142,NDF
143,US
144,NDF
145,US
146,NDF
147,US
148,US
149,US
150,NDF
151,US
152,US
153,US
154,NDF
155,US
156,NDF
157,IT
158,NL
159,NDF
160,NDF
161,NDF
162,NDF
163,US
164,US
165,IT
166,ES
167,US
168,US
169,FR
170,NDF
171,FR
172,IT
173,NDF
174,US
175,US
176,FR
177,US
178,US
179,NDF
180,US
181,US
182,US
183,US
184,US
185,NDF
186,NDF
187,NDF
188,NDF
189,NDF
190,US
191,US
192,NDF
193,NDF
194,US
195,ES
196,NDF
197,NDF
198,NDF
199,NDF
200,US
201,NDF
202,US
203,US
204,NDF
205,other
206,ES
207,US
208,US
209,NDF
210,NDF
211,NDF
212,US
213,CA
214,FR
215,US
216,US
217,US
218,US
219,US
220,NDF
221,US
222,US
223,NL
224,NDF
225,NDF
226,US
227,NDF
228,ES
229,US
230,NDF
231,US
232,NDF
233,US
234,US
235,FR
236,NDF
237,FR
238,US
239,NDF
240,NDF
241,NDF
242,US
243,US
244,NDF
245,US
246,NDF
247,NDF
248,NDF
249,NDF
250,US
251,FR
252,NDF
253,US
254,NDF
255,US
256,NDF
257,NDF
258,NDF
259,US
260,NDF
261,other
262,ES
263,US
264,US
265,NDF
266,US
267,NDF
268,US
269,other
270,NDF
271,US
272,NDF
273,NDF
274,US
275,NDF
276,NDF
277,NDF
278,NDF
279,US
280,NDF
281,NDF
282,US
283,US
284,NDF
285,DE
286,US
287,NDF
288,US
289,US
290,NDF
291,US
292,US
293,NDF
294,NDF
295,FR
296,US
297,NDF
298,ES
299,NDF
300,NDF
301,US
302,NDF
303,NDF
304,CA
305,NDF
306,US
307,US
308,NDF
309,US
310,US
311,FR
312,NDF
313,US
314,US
315,NDF
316,DE
317,ES
318,US
319,NDF
320,NDF
321,US
322,NDF
323,US
324,CA
325,NDF
326,NDF
327,NDF
328,NDF
329,US
330,NDF
331,US
332,US
333,NDF
334,US
335,US
336,NDF
337,GB
338,NDF
339,US
340,NDF
341,FR
342,US
343,US
344,US
345,US
346,NDF
347,NDF
348,US
349,NDF
350,FR
351,NDF
352,NDF
353,US
354,NDF
355,US
356,US
357,US
358,US
359,US
360,FR
361,US
362,US
363,NDF
364,NDF
365,US
366,NDF
367,NDF
368,FR
369,AU
370,NDF
371,US
372,US
373,NDF
374,US
375,NDF
376,US
377,US
378,US
379,US
380,US
381,US
382,NDF
383,US
384,AU
385,FR
386,FR
387,NDF
388,US
389,other
390,US
391,FR
392,FR
393,NDF
394,US
395,US
396,NDF
397,US
398,NDF
399,US
400,US
401,NDF
402,US
403,US
404,US
405,FR
406,NDF
407,other
408,NDF
409,US
410,NDF
411,NDF
412,US
413,GB
414,FR
415,IT
416,IT
417,other
418,US
419,NDF
420,other
421,US
422,US
423,US
424,NDF
425,US
426,IT
427,NDF
428,US
429,US
430,US
431,DE
432,US
433,IT
434,FR
435,US
436,US
437,US
438,US
439,NDF
440,US
441,US
442,NDF
443,FR
444,US
445,DE
446,NDF
447,NDF
448,ES
449,NDF
450,US
451,NDF
452,CA
453,US
454,IT
455,US
456,FR
457,US
458,NDF
459,US
460,US
461,US
462,US
463,US
464,CA
465,NDF
466,US
467,US
468,US
469,US
470,IT
471,NDF
472,US
473,US
474,US
475,NDF
